dataset,f1_minority,f1_majority,precision_minority,precision_majority,recall_minority,recall_majority,accuracy,auc_roc
dataset_1000_hypothyroid.csv,0.18037146644544438,0.9637286213318152,0.7818181818181819,0.9302564011049885,0.10309760374050266,0.9997126436781609,0.9305429760921882,0.9933515704349111
dataset_1002_ipums_la_98-small.csv,0.0,0.9442132521399094,0.0,0.8943219772879092,0.0,1.0,0.8943219772879092,0.8011215931665383
dataset_1004_synthetic_control.csv,0.9948717948717949,0.9990049751243781,1.0,0.998019801980198,0.99,1.0,0.9983333333333334,1.0
dataset_1013_analcatdata_challenger.csv,0.0,0.9663118851798098,0.0,0.9349206349206348,0.0,1.0,0.9349206349206348,0.7523076923076923
dataset_1014_analcatdata_dmft.csv,0.0,0.8922850632361984,0.0,0.8055188679245283,0.0,1.0,0.8055188679245283,0.5
dataset_1016_vowel.csv,0.9195486581729465,0.9928494661581126,1.0,0.9858390215584547,0.8555555555555555,1.0,0.9868686868686869,0.9988888888888889
dataset_1018_ipums_la_99-small.csv,0.0,0.9668224287805451,0.0,0.935775702201566,0.0,1.0,0.935775702201566,0.8690387903725123
dataset_1020_mfeat-karhunen.csv,0.8181988607686206,0.9833506080226349,1.0,0.9672701930290876,0.6950000000000001,1.0,0.9695,0.9944722222222222
dataset_1021_page-blocks.csv,0.822000323507946,0.9816588584144845,0.9073064179667767,0.9722593669280902,0.7517857142857143,0.9912473350419452,0.9667453023131568,0.9883886828558582
dataset_1022_mfeat-pixel.csv,0.9555262072250745,0.9953003746827648,0.9902439024390244,0.9917594970310587,0.925,0.9988888888888889,0.9914999999999999,0.9988055555555555
dataset_1023_soybean.csv,0.781401557285873,0.9728457251689575,1.0,0.9471340501792115,0.6415204678362573,1.0,0.9516960068699012,0.9856542319574275
dataset_1039_hiva_agnostic.csv,0.0,0.9820676944209591,0.0,0.964767300348315,0.0,1.0,0.964767300348315,0.5148774509803922
dataset_1045_kc1-top5.csv,0.3,0.9711640211640212,0.3,0.9578635285531838,0.3,0.9854497354497355,0.9448275862068964,0.8481481481481481
dataset_1049_pc4.csv,0.13364921271898017,0.937468083734897,0.5297619047619048,0.8860295972175039,0.07873015873015873,0.9953125,0.8834015911123665,0.9275917658730158
dataset_1050_pc3.csv,0.0,0.9460551460551461,0.0,0.8976325059392153,0.0,1.0,0.8976325059392153,0.8253264806812405
dataset_1056_mc1.csv,0.0,0.9963952444460237,0.0,0.9928164175133084,0.0,1.0,0.9928164175133084,0.8156456975644695
dataset_1059_ar1.csv,0.0,0.9568917668825161,0.0,0.925,0.0,0.9913043478260869,0.9176666666666666,0.8908102766798418
dataset_1061_ar4.csv,0.4933333333333333,0.9115364233011292,0.8,0.8746243058626959,0.4,0.9542483660130718,0.8506493506493505,0.8138888888888889
dataset_1064_ar6.csv,0.2,0.9122807017543859,0.4,0.8647368421052631,0.13333333333333333,0.9653594771241829,0.8419047619047619,0.6919389978213507
dataset_1065_kc3.csv,0.23272727272727273,0.954924333019129,0.8333333333333333,0.9178860465377319,0.14166666666666666,0.9951807228915662,0.9148590539894889,0.8268741633199465
dataset_311_oil_spill.csv,0.08444444444444445,0.9775879301614088,0.3,0.9582187831616553,0.05,0.9977715704531347,0.9562521333485039,0.9034117008069522
dataset_312_scene.csv,0.4842106139958588,0.9293775895646009,0.9434920634920634,0.87156970701684,0.3272654370489174,0.9954468738013041,0.8757835077337152,0.9384340276271799
dataset_316_yeast_ml8.csv,0.0,0.992916660337088,0.0,0.9859333025340931,0.0,1.0,0.9859333025340931,0.8744215505908862
dataset_38_sick.csv,0.07142857142857142,0.9697447402860622,0.2,0.9412804648081619,0.043478260869565216,1.0,0.9414084704973036,0.9675463205310668
dataset_450_analcatdata_lawsuit.csv,0.8992063492063492,0.9918363096566336,0.9099999999999999,0.9919183673469387,0.9,0.9918367346938777,0.9849056603773585,0.9928571428571429
dataset_463_backache.csv,0.06666666666666668,0.9281772953414744,0.2,0.8660317460317462,0.04,1.0,0.8666666666666668,0.712258064516129
dataset_757_meta.csv,0.03333333333333334,0.9470631690034675,0.2,0.8994574607782155,0.01818181818181818,1.0,0.8996406109613657,0.8453957039600937
dataset_764_analcatdata_apnea3.csv,0.48558608058608055,0.9552962325289315,1.0,0.9144788633540462,0.32727272727272727,1.0,0.9177777777777779,0.9136939010356733
dataset_765_analcatdata_apnea2.csv,0.5025249398004816,0.9514420015176626,1.0,0.9075001958293006,0.34487179487179487,1.0,0.9115789473684212,0.9469600729371519
dataset_767_analcatdata_apnea1.csv,0.4863157894736842,0.9515439579340509,0.95,0.9117809072991594,0.3423076923076923,0.9951807228915662,0.9115789473684212,0.9181804139635465
dataset_865_analcatdata_neavote.csv,0.0,0.9635627530364372,0.0,0.9299999999999999,0.0,1.0,0.9299999999999999,0.6010233918128656
dataset_867_visualizing_livestock.csv,0.0,0.8936170212765957,0.0,0.8076923076923077,0.0,1.0,0.8076923076923077,0.8342857142857143
dataset_875_analcatdata_chlamydia.csv,0.0,0.8885456885456886,0.0,0.8078947368421051,0.0,0.9875,0.8,0.8748774509803923
dataset_940_water-treatment.csv,0.6437768157768158,0.952672177474651,0.8944444444444445,0.9192561721625113,0.5125,0.9888639200998751,0.9165318957771789,0.9716510611735331
dataset_947_arsenic-male-bladder.csv,0.6799999999999999,0.9898276156340673,1.0,0.9798665554628858,0.53,1.0,0.9803088803088803,0.8756542056074765
dataset_949_arsenic-female-bladder.csv,0.249862305923687,0.9273002099009151,0.7142857142857142,0.8758468784883879,0.1625,0.9854166666666668,0.8676158301158301,0.7890042489035088
