dataset,f1_minority,f1_majority,precision_minority,precision_majority,recall_minority,recall_majority,accuracy,auc_roc
dataset_1000_hypothyroid.csv,0.8155267651479585,0.9855449088148195,0.856390749601276,0.9836349234056547,0.8008766803039158,0.9876478009202,0.973222899502872,0.9943799392451302
dataset_1002_ipums_la_98-small.csv,0.3630059158684448,0.7505447633572668,0.22353278692932071,0.9933603507592454,0.9658307459597166,0.6032265338678331,0.6415497661990648,0.8058943137392426
dataset_1004_synthetic_control.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dataset_1013_analcatdata_challenger.csv,0.19873015873015873,0.8677089259946402,0.13,0.9554157131960336,0.5,0.7978461538461538,0.7746031746031746,0.7696153846153846
dataset_1014_analcatdata_dmft.csv,0.0,0.8922850632361984,0.0,0.8055188679245283,0.0,1.0,0.8055188679245283,0.49455742841960487
dataset_1016_vowel.csv,0.9002129307007356,0.988757353834611,0.8499560825647782,0.9966475528768346,0.9666666666666666,0.9811111111111112,0.9797979797979798,0.9980864197530863
dataset_1018_ipums_la_99-small.csv,0.29353915419843496,0.8234412736841804,0.17501976647740475,0.9915606104093835,0.9119391398851111,0.7043220660565991,0.7176594005867774,0.8750643217480206
dataset_1020_mfeat-karhunen.csv,0.9197652717652718,0.9914207277042346,0.9423410867313307,0.9889865523910558,0.9,0.993888888888889,0.9845,0.9921388888888888
dataset_1021_page-blocks.csv,0.7654981449119231,0.9656377598403273,0.6411233965196615,0.9941874096516617,0.9517857142857142,0.9387327956109255,0.9400689522760095,0.986182736355104
dataset_1022_mfeat-pixel.csv,0.9747918439489911,0.9972245092222932,0.9857142857142858,0.9961294592239502,0.9649999999999999,0.9983333333333334,0.9950000000000001,0.999263888888889
dataset_1023_soybean.csv,0.6901093097519038,0.9219023225248085,0.5352156674276103,0.9978947368421054,0.9888888888888889,0.8578834923800029,0.8755367110347789,0.9862021704310628
dataset_1039_hiva_agnostic.csv,0.3478204443328054,0.9757159451034149,0.3422445156272215,0.976441943809162,0.35586206896551725,0.975,0.95318169737155,0.7576259296822178
dataset_1045_kc1-top5.csv,0.3333333333333333,0.9558249158249158,0.3,0.962962962962963,0.4,0.9489417989417989,0.9172413793103449,0.8962962962962961
dataset_1049_pc4.csv,0.5529505649376127,0.8933038935781463,0.4061609700462931,0.9787077960330126,0.8699999999999999,0.821875,0.827818575530763,0.9190290178571429
dataset_1050_pc3.csv,0.41084878647091266,0.8733394093480777,0.2895127758420441,0.9622588756351768,0.71875,0.8004499237417388,0.7920701236995166,0.8268611781901374
dataset_1056_mc1.csv,0.10052375246764286,0.939659597690737,0.05332668497301095,0.9990491939538927,0.8791208791208792,0.8869961387338217,0.8869643676949088,0.9604141205176443
dataset_1059_ar1.csv,0.13,0.9162356369234151,0.1,0.9354586235021017,0.2,0.9011857707509883,0.8516666666666666,0.8093873517786561
dataset_1061_ar4.csv,0.557936507936508,0.9033220233220234,0.6633333333333333,0.8884502923976608,0.5,0.9202614379084967,0.8419913419913418,0.7962418300653595
dataset_1064_ar6.csv,0.2920634920634921,0.8491346098556726,0.26666666666666666,0.8763305322128853,0.3333333333333333,0.8254901960784314,0.7528571428571429,0.638888888888889
dataset_1065_kc3.csv,0.3744437097940991,0.8786308372251547,0.26376121463077984,0.9575511759787844,0.65,0.8120481927710843,0.796942188246536,0.826673360107095
dataset_311_oil_spill.csv,0.46439116439116435,0.9742149220787357,0.4246153846153846,0.97873942720699,0.5305555555555556,0.9698572315332091,0.9508931619069292,0.9245367783985102
dataset_312_scene.csv,0.7186493926329892,0.9259798921964867,0.633040740058582,0.9608551633244155,0.8330125634856991,0.8937118015599029,0.8828305483907142,0.9423119647747867
dataset_316_yeast_ml8.csv,0.1579782790309106,0.9679571592331218,0.09953967580240923,0.991226228205978,0.40476190476190477,0.9458582175008369,0.9383416320175213,0.8638874837146598
dataset_38_sick.csv,0.7262185917097275,0.9725183258577594,0.6360365210328129,0.9925808936772789,0.8916743755781683,0.9542480457077286,0.9504147416867216,0.9738140867699938
dataset_450_analcatdata_lawsuit.csv,0.866089466089466,0.9875819508158088,0.8742857142857142,0.992,0.9,0.9836734693877551,0.9773584905660376,0.985204081632653
dataset_463_backache.csv,0.16717171717171717,0.8856370754076994,0.1833333333333333,0.8699280826700182,0.16,0.903225806451613,0.8,0.7445161290322581
dataset_757_meta.csv,0.40271340759145635,0.8653527713376858,0.27966137566137567,0.9613259109311741,0.7218181818181819,0.7869876819708846,0.7803593890386343,0.8267447826529575
dataset_764_analcatdata_apnea3.csv,0.6960327916849656,0.9425145895873586,0.6100108225108225,0.9795144433625446,0.8545454545454545,0.9113924050632912,0.9044444444444446,0.9288837744533947
dataset_765_analcatdata_apnea2.csv,0.8339595887982985,0.9716225506070574,0.791025641025641,0.982768451061134,0.8923076923076924,0.9610931531002057,0.951578947368421,0.959002049473692
dataset_767_analcatdata_apnea1.csv,0.7530191392260358,0.9566162762765427,0.6684593837535014,0.9798926875593542,0.8679487179487179,0.9347046723479282,0.9263157894736841,0.9319764988660081
dataset_865_analcatdata_neavote.csv,0.11717171717171718,0.8228632139088201,0.06944444444444445,0.9510859728506788,0.4,0.7415204678362574,0.72,0.6495614035087719
dataset_867_visualizing_livestock.csv,0.6828282828282828,0.9232785025524674,0.6642857142857144,0.9340191387559809,0.72,0.9142857142857143,0.876923076923077,0.8047619047619048
dataset_875_analcatdata_chlamydia.csv,0.5347619047619048,0.9025174556626169,0.5700000000000001,0.8931209150326798,0.5166666666666666,0.9132352941176471,0.8399999999999999,0.8873468137254902
